0;0;0;313;0;0;0;0;0;0;0;295;0;0;304;0;0;309;309;308;615;916;4842;15606;35710;46622;52714;52711;45534;57595;49472;65535;45119;51247;48425;51552;48655;48726;49117;46658;46557;51626;44551;46016;41519;42532;44979;43135;50815;41500;42318;41436;43814;31134;40984;37114;34203;35947;42678;31164;33562;39462;34890;31600;30930;33853;30867;24118;34957;26791;35263;31076;29916;31183;28856;31852;26944;23620;25857;30444;27865;24449;31255;25599;27886;22453;24760;25614;24281;22892;22987;23347;21772;18898;20949;21982;25092;25440;23416;18516;18400;16921;19305;20954;19823;19415;15321;13697
454;0;0;0;0;0;0;0;0;0;362;0;0;0;0;380;0;0;383;0;380;755;2246;9652;23191;41978;46736;48279;49518;65535;52982;53468;64482;46029;51896;43153;56129;52441;44177;51664;45787;45521;43641;43177;47181;37476;32708;49629;40302;42538;43987;47291;40563;36019;35812;38502;40558;46954;30485;36786;39739;32693;36485;27830;31078;33514;35141;26783;33301;42667;28074;30150;26541;30044;25024;29551;32247;32110;29475;30135;23347;25573;27473;28771;23866;24085;27281;26043;26626;23737;19220;22341;22320;24147;22104;20771;22812;24804;21999;19633;18790;20578;20270;23015;15619;13359;20169;17390
0;0;0;0;0;0;390;0;0;0;0;0;0;398;0;0;0;410;0;410;817;813;4034;12788;30531;47948;65112;61964;64376;59553;54121;61839;49337;49563;65534;63759;55587;60794;53220;51583;46945;50805;50065;45946;51934;47207;36822;55021;52593;47364;50127;44260;39373;41824;44600;45145;45398;44247;45872;51471;37715;40194;37698;43324;29962;33410;33127;38943;35294;36062;37072;39361;30985;33540;34071;29864;37020;29067;32436;31175;27700;31619;25528;32653;27839;30042;24341;22135;23981;25363;20163;30944;22716;22655;23773;22387;22563;24741;20935;23487;26417;22055;18598;24920;17365;19765;18710;17751
0;0;0;0;0;361;0;0;0;0;0;0;351;0;0;362;0;0;368;368;735;732;5091;12972;30008;44994;53743;65535;58915;60738;57499;50931;52756;58841;46297;56502;51354;48912;44247;39889;41971;37396;44855;48947;49241;38796;36416;38709;50269;44130;39167;41634;30908;33843;33970;31720;33630;34584;40376;31670;33952;30511;29245;33955;33944;32765;30007;30468;31996;32752;33355;27364;33368;26259;27483;28684;30546;26141;27065;29385;24488;22438;25959;22575;21682;27858;25260;22252;23553;20462;21330;19579;19252;21464;19540;20167;21085;17996;22451;20467;22740;16335;17696;18085;18232;15332;14257;13996
0;0;0;0;0;0;0;0;384;0;0;0;0;0;402;0;408;0;410;0;816;1623;6437;21925;37966;56059;54842;57580;64247;61370;65535;61769;59298;50303;58488;59017;49206;58765;43120;60472;59136;50744;44258;48323;55501;48732;38753;46476;41325;42524;38277;38349;44679;38664;36895;40135;34747;37390;37874;36963;43487;42958;38890;36096;36826;33787;29822;31934;38933;33119;38223;36431;33318;25492;32406;28219;35379;28623;26591;25358;23053;27346;33229;26033;19203;30429;28716;25351;23560;24529;24253;23901;23091;23020;22903;23950;22502;20693;24031;18741;19381;19704;22058;18296;22909;16567;19184;16088
0;0;0;0;0;0;352;0;0;0;0;344;0;0;0;358;0;0;365;365;365;1091;3617;10044;20257;57473;46134;65535;61658;46976;51272;56690;43067;42535;61004;47922;51506;48774;43081;37686;41574;43597;45575;39070;41605;54925;48505;37066;35003;39680;40718;41789;41782;40513;37197;36278;36783;39043;36343;34077;34618;24329;32674;30034;35001;36403;33724;35668;26263;35421;24420;26455;31757;38650;34799;27833;29003;25993;22753;22669;27735;25333;25736;26160;22147;20244;23579;23444;20424;21346;18935;22705;22763;23517;24915;25520;22078;17197;20580;24587;18101;20040;16869;19653;15946;12656;16536;14460
0;0;0;0;407;0;0;0;0;0;0;0;0;409;0;0;418;0;0;417;415;825;2451;10540;21297;53806;56980;64176;52950;57576;62276;59720;63908;65535;62497;54175;62723;57882;52958;54913;51797;55251;53175;47192;44066;57893;45566;49299;43179;48451;46430;42593;44702;49467;48819;39003;45522;43281;37666;37592;30926;40747;37555;43700;39855;33772;34279;38932;38506;42024;35659;41963;26939;30374;29330;37440;30085;31153;34575;33749;28307;27995;29693;23954;35008;28031;26624;34763;27083;24743;25242;31186;24397;22193;23723;24725;21632;18180;26016;23028;24486;20941;25770;21654;20041;18928;15290;21553
0;0;0;0;0;0;369;0;0;0;0;0;388;0;0;394;0;0;391;0;385;764;2654;9401;25377;51581;42129;48676;50498;54672;60444;51849;57543;48962;62359;65535;46631;49660;54990;50806;50455;49976;41933;42110;50736;41131;46857;39287;50186;39043;32168;42247;42364;44380;34499;41071;48162;38958;30105;30981;31030;39087;39789;32148;34605;46879;34291;38458;35554;36885;29652;34007;31087;31572;29482;26753;28134;27706;29583;33000;31257;31482;26073;25166;25769;28740;24665;26008;26514;20226;25363;24476;25125;26460;24658;19072;22287;20599;21585;21558;18630;15785;23709;21967;24777;19124;18893;21695
412;0;0;0;0;0;0;0;0;0;368;0;0;0;0;383;0;0;381;0;376;745;2217;10623;25441;38995;44569;60197;55489;50166;62213;56008;65535;61716;51877;49647;54562;53061;62084;46631;50527;57768;42323;45911;56958;47172;38620;40840;36501;46691;37787;37559;38738;39265;41633;37746;33249;38073;39521;35719;40012;33327;38544;29653;35103;32121;32921;32856;36089;31017;31134;28659;36190;25271;31242;24212;27003;29073;28351;28778;27064;31564;26348;27304;25324;24795;26931;26342;26107;26943;23497;19203;20636;25038;19527;20826;19880;18608;22093;17683;15181;18172;25436;18472;21000;21480;20499;23690
453;0;0;0;0;0;0;379;0;0;0;391;0;0;401;0;0;405;404;402;400;1586;6291;17547;40209;49496;42343;58881;64053;60612;58838;60586;65534;57570;50301;60924;53467;54297;51831;58121;59903;47400;47731;46331;55316;37829;35965;47788;42334;46981;44725;48275;40412;42800;51976;41803;33616;34491;40023;34739;42678;46830;36974;34068;33841;33946;36842;38080;33890;40965;32336;30487;29465;35470;28984;31460;30938;28159;29615;34962;34674;25236;30032;30670;26245;28055;24736;28963;22268;26434;23639;24441;23944;20987;21206;22977;19611;22527;22720;21424;18335;19527;24321;22380;18520;18750;23094;18900
